"opponent","opp_type","site","half_no","poss_type","hc_pt_touch","PtTouch_0","PtTouch_1","PtTouch_2plus","hc_passes","Passes_0to3","Passes_4to6","Passes_7plus","hc_points","hc_reversal","t_passes","TPasses_0to1","TPasses_2plus","t_points"
"Maine","nc","home",1,"halfcourt",1,0,1,0,10,0,0,1,3,1,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",1,0,1,0,6,0,1,0,1,1,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",0,1,0,0,6,0,1,0,0,0,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",1,0,1,0,5,0,1,0,0,0,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",2,0,0,1,2,1,0,0,0,0,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",1,0,1,0,9,0,0,1,2,0,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",2,0,0,1,2,1,0,0,0,0,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",2,0,0,1,10,0,0,1,3,0,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",0,1,0,0,5,0,1,0,0,0,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",1,0,1,0,3,1,0,0,2,0,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",2,0,0,1,6,0,1,0,2,0,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",2,0,0,1,6,0,1,0,2,1,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",1,0,1,0,3,1,0,0,0,0,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",0,1,0,0,2,1,0,0,0,0,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",1,0,1,0,6,0,1,0,2,1,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",1,0,1,0,7,0,0,1,3,1,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",0,1,0,0,3,1,0,0,2,0,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",0,1,0,0,3,1,0,0,0,0,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",1,0,1,0,10,0,0,1,1,1,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",0,1,0,0,6,0,1,0,3,1,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",1,0,1,0,5,0,1,0,2,0,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",0,1,0,0,6,0,1,0,2,1,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",0,1,0,0,7,0,0,1,0,0,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",1,0,1,0,6,0,1,0,0,0,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",0,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA
"Maine","nc","home",1,"halfcourt",0,1,0,0,4,0,1,0,0,0,NA,NA,NA,NA
"Maine","nc","home",1,"transition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"Maine","nc","home",1,"transition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,2
"Maine","nc","home",1,"transition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0
"Maine","nc","home",1,"transition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,0
"Maine","nc","home",1,"transition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,2
"Maine","nc","home",1,"transition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,0
"Maine","nc","home",1,"transition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0
"Maine","nc","home",2,"halfcourt",1,0,1,0,9,0,0,1,2,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",3,0,0,1,5,0,1,0,2,1,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",1,0,1,0,3,1,0,0,2,1,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",3,0,0,1,5,0,1,0,2,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",0,1,0,0,2,1,0,0,0,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",0,1,0,0,4,0,1,0,0,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",1,0,1,0,3,1,0,0,3,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",1,0,1,0,7,0,0,1,0,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",1,0,1,0,7,0,0,1,0,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",0,1,0,0,3,1,0,0,0,1,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",1,0,1,0,6,0,1,0,2,1,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",2,0,0,1,10,0,0,1,0,1,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",1,0,1,0,5,0,1,0,3,1,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",0,1,0,0,2,1,0,0,0,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",0,1,0,0,3,1,0,0,0,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",1,0,1,0,5,0,1,0,0,1,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",1,0,1,0,3,1,0,0,0,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",1,0,1,0,8,0,0,1,2,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",1,0,1,0,3,1,0,0,0,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",0,1,0,0,3,1,0,0,3,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",0,1,0,0,2,1,0,0,0,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",0,1,0,0,3,1,0,0,0,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",0,1,0,0,2,1,0,0,0,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",1,0,1,0,2,1,0,0,0,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",0,1,0,0,2,1,0,0,0,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",1,0,1,0,4,0,1,0,1,0,NA,NA,NA,NA
"Maine","nc","home",2,"halfcourt",1,0,1,0,7,0,0,1,3,1,NA,NA,NA,NA
"Maine","nc","home",2,"transition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,2
"Maine","nc","home",2,"transition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,2
"Maine","nc","home",2,"transition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2
"Maine","nc","home",2,"transition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,1,2
"Maine","nc","home",2,"transition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,2
"Liberty","nc","semi-home",1,"halfcourt",0,1,0,0,3,1,0,0,0,0,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",1,0,1,0,3,1,0,0,1,0,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",2,0,0,1,8,0,0,1,2,0,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",1,0,1,0,3,1,0,0,0,0,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",1,0,1,0,4,0,1,0,2,1,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",1,0,1,0,7,0,0,1,0,1,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",0,1,0,0,6,0,1,0,0,0,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",1,0,1,0,5,0,1,0,0,1,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",1,0,1,0,5,0,1,0,0,1,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",0,1,0,0,2,1,0,0,0,0,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",0,1,0,0,6,0,1,0,3,1,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",1,0,1,0,3,1,0,0,0,0,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",3,0,0,1,8,0,0,1,0,0,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",1,0,1,0,3,1,0,0,0,0,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",0,1,0,0,2,1,0,0,0,0,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",1,0,1,0,4,0,1,0,2,0,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",2,0,0,1,3,1,0,0,0,0,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",1,0,1,0,7,0,0,1,2,1,NA,NA,NA,NA
"Liberty","nc","semi-home",1,"halfcourt",0,1,0,0,4,0,1,0,0,0,NA,NA,NA,NA
